label,news-title,content,,,,,,,,,,,,,,,,
earthquake,"Deadly earthquake hits Indonesia: Dozens killed, hundreds injured","The earthquake unleashed dozens of aftershocks, some six kilometres northeast of the city of Majene,  causing heavy damage across the city, including to the five-story Mitra Manakarra Hospital where eight people were reportedly trapped inside.  
“The Governor’s office, two hotels, a mall, a community health centre, and over 300 houses also sustained damage”, said the spokesperson for the UN Office for the Coordination of Humanitarian Affairs (OCHA), Jens Laerke. 
Local authorities have reported that 638 people have been injured and more than 18,000 have been temporarily displaced to 10 evacuation sites.  
However, these numbers are expected to increase as assessments continue.  
“The earthquake interrupted the access road between?Majene?and the provincial capital?Mamuju?in three different locations”, said Mr. Laerke.  
“Electricity, communications network and fuel supply have also been disrupted”, he added.
The OCHA spokesperson pointed out that the earthquake?followed?a 5.7 magnitude shock that rocked the same area on Thursday afternoon.? 
The chief of Indonesia’s Meteorology and Geophysics agency, Dwikorita Karnawati, warned that strong aftershocks could follow, telling a news conference that there had already been at least 26, after the two quakes had rocked the area, since Thursday afternoon. 
“The structures of the materials and rocks under the earth are unstable or weak after 28 tremors, and these may cause an underwater landslide and trigger a tsunami”, she said, recommending that people stay away from the coast if another strong quake strikes.",,,,,,,,,,,,,,,,
earthquake,Indonesia earthquake: dozens dead after tremors and landslides hit Sulawesi,"Thousands flee for safety and higher ground after island’s second quake in 24 hours
At least 37 people have been killed and hundreds injured following a strong earthquake that shook the island of Sulawesi in Indonesia early on Friday morning, prompting landslides and destroying houses.
Thousands of people fled their homes to seek safety when the 6.2-magnitude earthquake hit just after 1am local time on Friday morning. The epicentre was 6km north-east of Majene city in West Sulawesi.
Hundreds of buildings were destroyed or damaged, including a hospital, which collapsed with more than a dozen patients and staff trapped beneath it.
“The hospital is flattened,” said Arianto, who like many Indonesians goes by one name, from the rescue agency in Mamuju city, near Majene. Rescuers were also trying to reach a family of eight buried beneath the rubble of their destroyed home, he told AFP.
At least 37 people have been killed in Majene and Mamuju, and rescue workers fear the death toll will rise further. “Many of the dead are buried under rubble,” said Ali Rahman, the head of the local disaster mitigation agency in Mamuju. In Majene, 637 people were said to be injured.",,,,,,,,,,,,,,,,
earthquake,"On 15 January, a 6.2 magnitude earthquake in South Sulawesi left over 81 dead","On 15 January 2021, a 6.2 magnitude earthquake hit Majene, West Sulawesi Province in the early hours of the morning killing at least 81?people, injuring more than 630, and over 15,000 homeless.
More than 15,000 people have been temporarily displaced in 15 IDP sites, and figures are increasing.
The quake severely damaged buildings and houses, including a hospital that was completely flattened, trapping dozens of patients and staff in the rubble. Preliminary assessments indicate that 17 schools have been damaged.
Heavy rains in recent days have made access very difficult, blocking the main road to the affected areas.
The first priority is to search for survivors who have been trapped under the rubble, and to tend to the wounded.
This disaster comes nearly two and a half years after a massive earthquake and tsunami killed thousands in Central Sulawesi. Indonesia sits within the Pacific Ring of Fire, the world’s most disaster-prone area marked by floods, tsunamis and earthquakes.",,,,,,,,,,,,,,,,
earthquake,At Least 46 Killed and Hundreds Injured as Quake Hits Indonesia,"“The Secretary-General extends his condolences to the families of the victims, as well as to the people and Government of Turkey”, UN Spokesperson Stéphane Dujarric said in a statement issued on Saturday. “He wishes those injured a speedy recovery”.
Turkey's Disaster and Emergency Management Authority, AFAD, said that 25 people were killed in Elazig province _ some 465 miles east of the capital, Ankara _ and four in the neighbouring province of Malatya.
And the country’s Health Minister recorded more than 1,450 injured people.
State media in Syria and Iran both reported feeling tremors in their countries, and local media in Lebanon said that Beirut and Tripoli also felt the quake.
More than 400 aftershocks have been recorded, 14 of which had magnitudes over 4.0, according to AFAD.

Hundreds of residents were left homeless or with damaged homes as rescue teams from neighboring provinces worked throughout the night with floodlights, using their hands, drills and mechanical diggers to remove bricks and plaster from collapsed buildings in search of survivors.",,,,,,,,,,,,,,,,
earthquake,Deadly earthquake rattles eastern Turkey,"The death toll from a powerful earthquake in eastern Turkey reached 22 on Saturday, asrescuers searched for an estimated 22 more people trapped under the rubble of collapsed buildings.
The magnitude 6.8 quake shook Elazig province, about 550 km (340 miles) east of the capital Ankara, and was followed by more than 270 aftershocks, 12 of which had magnitudes over 4.
Eighteen people were killed in Elazig and four more in the neighbouring province of Malatya, said Turkey's Disaster and Emergency Authority (AFAD), adding 1,031 others were injured and in hospitals in the region. It said rescue efforts were underway at three different sites in Elazig.
Footage early on Saturday showed emergency workers rescuing three people in Elazig after 12 hours under the rubble. Another woman in Elazig was rescued after 13 hours, while authorities listened for voices, with the government saying 30 more people were still trapped.",,,,,,,,,,,,,,,,
earthquake,Turkey earthquake: At least 31 dead as buildings collapse,"At least 31 people have been killed and more than 1,600 injured in a powerful earthquake in eastern Turkey.
The magnitude-6.8 quake centred on the town of Sivrice in Elazig province caused buildings to collapse and sent residents rushing into the street.
Forty-five people have been rescued so far, with more than 20 feared to remain trapped, officials say.
Earthquakes are common in Turkey - about 17,000 people died in a quake in the western city of Izmit in 1999.
Friday's quake struck at about 20:55 local time (17:55 GMT).
Tremors were also felt in neighbouring Syria, Lebanon and Iran.
More than 400 aftershocks were recorded, Turkey's Disaster and Emergency Management Authority (Afad) said.
Rescue teams worked through the night, using their hands, drills and diggers to try to find people in the rubble of fallen buildings. They also brought beds and tents for those displaced, and warned residents against returning to damaged buildings because of the danger of aftershocks.
Afad said that most of the casualties were in Elazig province, and deaths were also reported in the neighbouring province of Malatya.
Some 1,607 people were injured by the earthquake, according to the latest count.",,,,,,,,,,,,,,,,
earthquake,"Death toll rises to 36 and at least 1,607 hospitalized in Turkey earthquake","Istanbul, Turkey (CNN)At least 36 people died and more than 1,607 have been hospitalized in eastern Turkey after an earthquake rattled the region on Friday evening, according to state broadcaster TRT Haber.
The 6.7-magnitude quake struck near the town of Sivrice, in eastern Elazig province, causing at least 10 buildings to collapse, Interior Minister Sulyman Soylu said.
About 1,607 people were hospitalized, Turkey's Disaster and Emergency Management President (AFAD) said on Sunday.
At least 45 people have been rescued from collapsed buildings, AFAD said, adding that 1,521 buildings have been inspected, with 76 found to be collapsed and 645 heavily damaged.
Most of the injured were in Elazig province, the epicenter of the earthquake.
Video from Turkey's IHA Broadcasting Services shows emergency crews rescuing injured people from a collapsed building.
The earthquake caused five buildings to collapse in Elazig and heavy damage to a number of buildings in the area, Minister of Environment and Urbanization Murat Kurum told reporters.
Preliminary reports say the earthquake lasted 40 seconds, AFAD said, adding that 3,699 search and rescue personnel have been deployed.
Fifteen aftershocks have been felt in the wake, with the strongest registering at 5.4 magnitude, Soylu said. The quake struck at a relatively shallow depth of 10 km (6 miles), according to the US Geological Survey (USGS), which enhances the shaking felt at the surface.
About 500,000 people felt strong to very strong shaking, the USGS reported. The earthquake was felt in several other countries, including Iraq, Syria and Lebanon.
The quake interrupted a live broadcast of Edessa TV. Video of the broadcast shows four anchors talking while everything shakes around them.
All relevant departments were taking measures to ensure the safety of citizens following the earthquake, President Recep Tayyip Erdo?an said Saturday. Interior, health and environment ministers were sent to the quake-hit area.",,,,,,,,,,,,,,,,
earthquake,New Zealand downgrades tsunami warning after 8.1-magnitude earthquake,"(CNN)New Zealand has downgraded its tsunami warning after a powerful earthquake struck the Kermadec Islands region early Friday, sparking fears of a tsunami.
The 8.1-magnitude quake was the third to strike the area on Friday morning local time, according to the New Zealand National Emergency Management Agency.
Residents in some areas received emergency alerts on their phones urging them to ""EVACUATE NOW,"" as tsunami sirens rang out. The emergency agency issued a temporary evacuation order for people near the coast, warning them, ""Do not stay at home"" as a ""damaging tsunami is possible.""
The Kermadec Islands are 500 to 620 miles northeast of New Zealand's North Island. The East Coast of the North Island from the Bay of Islands to Whangarei, from Matata to Tolaga Bay including Whakatane and Opotiki and Great Barrier Island are all included in the Pacific nation's tsunami warning.",,,,,,,,,,,,,,,,
earthquake,New Zealand earthquakes: Tsunami warnings lifted after evacuations,"Three earthquakes, including one of the strongest ever to hit the region, struck off the coast of New Zealand on Friday, triggering tsunami warnings that have now been stood down.
Thousands were evacuated from some coastal areas of the North Island after the third, 8.1-magnitude quake struck.
There were reports of traffic gridlock as people tried to reach higher ground.
The national tsunami warning was lifted at 15:43 (02:43 GMT), some 13 hours after the first quake.
Some wave surges hit parts of the coast but, by Friday afternoon, authorities said the largest waves had passed. Residents were told they could return home but were warned to stay off beaches.",,,,,,,,,,,,,,,,
earthquake,Thousands evacuated after powerful earthquake strikes off New Zealand,"One of the strongest earthquakes to hit the South Pacific in modern history triggered tsunami warnings across the ocean and forced thousands of people in New Zealand to evacuate coastal areas Friday. Small tsunami waves were seen, but little damage was apparent hours later.
The magnitude 8.1 quake in the Kermadec Islands region about 1,000 kilometers (620 miles) from New Zealand was the largest in a series of tremors over several hours, including two earlier quakes that registered magnitude 7.4 and magnitude 7.3.
The tsunami threat caused traffic jams and some chaos in New Zealand as people scrambled to get to higher ground.
Residents recorded videos of small wave surges in some places, including at Tokomaru Bay near Gisborne. In the afternoon, the National Emergency Management Agency said the threat had passed and people could return to their homes, although they should continue avoiding beaches.
One of the earlier quakes hit much closer to New Zealand and awoke many people as they felt a long, rumbling shaking. “Hope everyone is ok out there,” New Zealand Prime Minister Jacinda Ardern wrote on Facebook during the night.",,,,,,,,,,,,,,,,
