label,content
flood,"Missouri woman who drowned after driving into flood waters in Clinton County identified GOWER, Mo. — The Missouri State Highway Patrol has identified the victim of a drowning incident late Friday night in Clinton County.  The incident occurred just before midnight Friday at Castile Creek on NW County Line Road, about 2 miles south of Gower.  The highway patrol reports the driver of a Jeep entered water that was over the roadway and was swept off the side of the road. The driver of the vehicle was unable to exit the vehicle and drowned."
other,"The increase in HRA for central government employees, which became effective from July 2017 and continued to accumulate till December 2017, shaped the path of headline inflation during Q3, with unseasonal hardening of prices of vegetables, accentuating a spike to 4.9 per cent in November. While prices of vegetables did undergo a shallower than usual moderation in December, an unfavourable base effect came into play, pulling up inflation to a peak of 5.2 per cent in December. In Q4, headline inflation moderated with a fall in momentum due to a delayed but steep reversal in prices of vegetables (Chart II.3).The distribution of inflation across CPI groups in 2017-18 had striking similarities as well as divergences with last year¡¯s experience. While median and modal inflation were similar, the continuing deflation in pulses gave the inflation distribution a considerable negative skew this year in contrast to the positive skew generated by high sugar and pulses inflation during 2016-17 (Chart II.4). Diffusion indices3 of price changes in CPI items suggest that on a seasonally adjusted basis, after an uptick in Q3:2017-18, the situation reversed in January-February, with the prices of a number of goods, particularly of food items, registering decline (Chart II.5)."
other,"When the character Bear is visited by the spirit of an unknown warrior in the series premiere of ""Reservation Dogs,"" he asks if the man before him is ""Crazy Horse"" or another legendary Native American leader.
It turns out, however, that the man in the beads and feathers is not the kind of brave or formidable Native hero long romanticized in Hollywood. The unknown warrior instead departed this earth in a most anticlimactic fashion -- his horse tripped over a gopher hole and squashed him dead before the battle even started.
""The spirit world is cold,"" he tells Bear. ""My nipples are always hard.""
It's a deeply clever and funny scene, one that flips the tired trope of the Indigenous warrior on its head. It winks at Native viewers in the audience, who are all too used to seeing stereotypical portrayals of their people on screen. And it gently mocks those who still think of Native people as relics of the past, as if to say, ""C'mon ... really?”
""It's bringing non-Natives into the joke and saying, 'Hey, this is what you think we look like and we're gonna let you laugh at it with us,'"" Sterlin Harjo, a Seminole and Muscogee filmmaker who created ""Reservation Dogs"" with Taika Waititi, told CNN. ""'But it's crazy that you think we still dress like that.'"""
flood,"Heavy rains causing flooding in parts of lake area In an effort to mitigate downstream flooding, Truman Dam has ceased generation at their power plant while Ameren Missouri has cut generation at Lake of the Ozarks.  Depending on the location, as of Monday morning, the lake area had received about 2.5 inches of rain in the previous 48 hours compounded by another 3 to 4 inches in the 72 hours prior to those measurements, according to the National Weather Service in Springfield.  The change in generation at Truman and Bagnell Dam on Lake of the Ozarks is an effort to decrease the water flowing downstream on the Osage River to the Missouri River. The Missouri River continues to rise.  Working in conjunction with the U.S. Corps of Engineers, Truman stopped generation to hold water back from Lake of the Ozarks. Ameren Missouri will only be generating what is necessary to release water that flows in from tributaries and run-off caused by the rain.  Chances of rain are in the forecast through the week before clearing skies on Friday, just in time for the Fourth of July weekend. The weekend forecast is currently showing sunny skies with highs in the 80s."
drought,"he Obama administration is sending disaster response teams to northern Ethiopia to try to address a humanitarian emergency and avoid a national security risk to the U.S. should the drought there spiral out of control.
Experts are predicting northern Ethiopia will experience the worst drought in generations, one that will surpass the 1984 famine that killed one million men, women and children and galvanized stars like Michael Jackson, Stevie Wonder and Bruce Springsteen to record the 1985 charity song ""We are the World.""
The Ethiopian government -- a major partner in U.S. counterterrorism efforts -- estimates that 10.2 million people will need food assistance, on top of about 8 million people who are chronically food insecure, and up to 2 million people will need safe drinking water. The United Nations estimates that as many as 15 million Ethiopians could suffer acute malnutrition or worse unless more help is found.
""We are acting to prevent a major humanitarian crisis and protect Ethiopia's hard-earned development progress,"" Gayle Smith, administrator of the U.S. Agency for International Development, said Thursday In announcing the deployment of a Disaster Assistance Response Team.
She also called on additional countries to pitch in.
""Other donors must also step-up their responses now,"" she said.
Intervening isn't just a moral issue but also a matter of national security, U.S. officials said.
""Climate-related threats pose an urgent and growing threat to our national security, contributing to increased natural disasters, refugee flows and potential conflicts over basic resources like food and water,"" said USAID spokesman Ben Edwards.
The U.S. is concerned that conditions could lead to instability, that a situation where there's a lack of food and jobs could encourage young people to join extremist groups while refugees flows destabilize population centers.
Ethiopia works with the U.S. on threats in the Horn of Africa, a conflict-ridden area plagued by the terrorism of al-Shabaab, among other groups. The area encompasses Sudan, Somalia and Djibouti -- home to the U.S. naval expeditionary base Camp Lemonnier -- as well as Sudan, Kenya and Ethiopia. Events in the region often impact Yemen, Libya and Egypt.
In January, a bipartisan group of lawmakers visited the Ethiopian capital to express support for the country's help on regional threats.
Rep. Ed Royce, the California Republican who heads the House Foreign Affairs Committee, said that thanks to Ethiopia's ""efforts to confront extremism, al-Shabaab has not expanded footholds in the Horn of Africa"" and commended its contributions to peacekeeping missions.
Smith, of USAID, said the administration will send an elite team of nearly 20 disaster experts to provide technical assistance, conduct humanitarian assessments and coordinate relief efforts with partners on the ground. She also said that the U.S. would provide nearly $4 million in maize and wheat seed for more than 226,000 households.
Ethiopia has made strides in creating greater food stability, according to the U.N., but its ability to predict the severity of this drought, after unreliable rainy seasons in the north, was complicated by an ocean-warming El Niño that scientists say is altering weather worldwide, bringing drought to California and unseasonably warm days in New York.
While international assistance is arriving, Ethiopia is also competing for aid with human disasters unfolding in war-ravaged Syria and Yemen and a refugee crisis in Europe, all of which are contributing to donor fatigue, experts say.
The new U.S. funds announced by Smith today add to more than $532 million in humanitarian assistance to Ethiopia since October 2014 for emergency food assistance, safe drinking water and nutrition and health support. Some of that money went to better prepare Ethiopia and other Horn countries for natural calamities like these that are almost predictable."
drought,"The U.S. Drought Monitor recently reported that, for the first time in its nearly 20-year history, none of the contiguous states was showing symptoms of severe or exceptional drought. That report includes Arizona, as this year’s abnormally wet May helped push the state out of a 10-year drought period.
According to the monitor’s weekly report for late last week, only 20.5% of Arizona was showing moderate drought or “abnormally dry” symptoms. Data for the same week in 2018 found 100% of the state in moderate drought or abnormally dry, with a majority of the state experiencing severe (97%) or extreme drought (73.2%).
Richard Heim, a meteorologist with the National Oceanic and Atmospheric Administration’s National Centers for Environmental Information, said the change was tied to this year’s wet spring.
“Rain and snow have been falling in the areas that needed it, so the drought’s contracted a lot,” he said.
Arizona is no stranger to downpours in the monsoon season, which runs June 15 to Sept. 30, according the National Weather Service, but heavy rain and snowfall in spring isn’t typical for the Southwest.
State climatologist Nancy Selover said the increased rain and snow came from winter storms over the Southwest that lingered longer and provided more moisture than in the past."
other,"In April this year, MAS shifted from a zero percent appreciation path to a policy of modest and gradual appreciation of the S$NEER, against a more favourable growth outlook for the Singapore economy and the risk of rising inflationary pressures.  The width of the policy band was kept unchanged.  In the event, the economy grew strongly by 11.9% in Q2 2004 on a quarter-on-quarter seasonally adjusted annualised basis, while CPI inflation increased to 1.9% from 1.4% in Q1.  The labour market also strengthened with some 10,900 jobs created in Q2. At the time of the release of the Monetary Policy Statement (MPS) in April, the S$NEER had appreciated to the upper end of the policy band.  Following the announcement, the S$NEER trended downwards, largely reflecting a general strengthening of the US dollar against major currencies and concerns over the implications for the region of a marked slowdown in the Chinese economy.  Since mid-August, the S$NEER has reverted to an appreciating trend, reflecting a general weakening of the US dollar and stronger capital inflows to the region with greater optimism over the regional outlook.  (Chart 1)Monetary conditions have generally tightened since mid-2004.  Domestic inter-bank rates have risen in tandem with the 75 basis point increase in the US federal funds rate since June.  Having remained unchanged at 0.75% over the first five months of this year, the three-month domestic interbank rate rose to 0.81% by end-June, and further to 1.44% by end-September.  However, reflecting the ample liquidity in the banking system, retail interest rates have thus far remained unchanged.  Meanwhile, lending activities in the domestic banking sector have continued to improve gradually, supported by an increase in housing loans, and to a lesser extent, credit extended to the corporate sector, as business prospects improved."
drought,"However WaterAid India's Head of Policy, Nitya Jacob, says groundwater levels are so depleted that even if a good monsoon comes in June -- and meteorologists predict there will be one that ends the drought -- it won't be enough.
""Even if the monsoon is good, it cannot compensate,"" Jacob told CNN.
Central Water Commission data shows that India's major reservoirs are 79% empty, and 75% of India's basins are holding less water than the 10-year average.
CNN Meteorologist, Michael Guy, says this is usually the hottest time for the subcontinent, but this year has seen abnormally high temperatures.
""India is currently in their summer or pre-monsoon season, which lasts from April to late May, or early June,"" says Guy.
""This year we've seen temperatures range from the lower 40s to as high as 47˚C or 116˚Fahrenheit. For some, this is three to five degrees (Celsius) above normal.""
And critically, the past two monsoon seasons have seen below average rainfall.
""This has had a huge impact on groundwater supplies,"" says Jacob."
wildfires,"One of the state’s worst wildfire seasons in history has scorched 5 million acres of tundra and forests across Alaska, and experts here fear climate change will cause even more devastating fires through a combination of lower snowpack, drying tundra and melting permafrost.
Like an insulating blanket, snow reduces fire risk by keeping trees and grasses cold and damp. If less snow accumulates, or worse, snow covers less of the state than normal, there will be nothing to stop the near-constant summer sun from drying out the tundra and the permafrost layer below it. Permafrost, which is mostly composed of organic material, burns easily once thawed and lightning strikes.
Anchorage, for example, had its least snowy winter on record, with just over two feet of snow, the National Weather Service reported.
“We’re looking at, potentially over time, more fires burning more area,” said Kent Slaughter, the manager of the federal Bureau of Land Management’s Alaska Fire Service.
From the U.S. Army’s Fort Wainwright, Slaughter commands an army of firefighters, smokejumpers, logistics experts, pilots and supply clerks to coordinate battles most residents of the Lower 48 don't know are even happening. At the height of the fire season in early July, Slaughter and his teams were battling two wildfires that were each nearly three times bigger than any blaze in the rest of the country."
Typhoon,"A massive typhoon crossed over Okinawa on Sunday, bringing winds more ferocious than even the typhoon-weary Japanese island has seen in decades.
Typhoon Bolaven, with wind gusts that reached as high as 259 kilometers per hour (161 mph), is the strongest to strike the region in nearly 50 years. And with a cloud field of 2,000 kilometers (1,250 miles), it is 20 times larger than Okinawa's length.
""It's been very, very severe,"" said storm chaser James Reynolds, who was on the northwestern coast of the island during the worst of the storm.
Tree branches were flying through the air amid torrential rain, he said.
Speaking to CNN early Monday morning on Okinawa, Reynolds said, ""It's been a long and rough night.""
""The eye of the typhoon actually crashed ashore just after dark. ... Like the rest of the population we all just kind of holed up in the strong and sturdy buildings which make up Okinawa,"" he said.
The infrastructure on Okinawa is designed to withstand violent storms. ""Everything's made of solid concrete,"" said Reynolds.
The last storm of this scale was Typhoon Naha in 1956."
