label,content
earthquake,"Major magnitude 7.7 earthquake - Southeast of Loyalty Islands, New Caledonia, on Wednesday, 10 February 2021 at 13:20 (GMT) - information Small tsunami observed Given the magnitude and relative shallow depth of the quake, a tsunami alert had been issued for coastal areas including New Zealand, New Caledonia, Vanuatu and other islands in the area. In fact, the quake triggered a small tsunami, which reached maximum wave heights of less than a meter: In Lenakel (Vanuatu), 0.78 m waves above tide were measured, 75 cm on the Great Barrier Island (New Zealand), 48 cm at Kingston Norfolk Island, and 10-20 cm in various coastal locations of New Caledonia. There are no reports of damages."
earthquake,"Sand Point’s docks and road damaged in 7.8 quake A magnitude-7.8 Aleutian earthquake late Tuesday night prompted tsunami warnings in communities across coastal Alaska, from Homer to Unalaska.  Sand Point is a fishing community of about a thousand people, located about 550 miles southwest of Anchorage in the eastern portion of the Aleutian Chain. Earthquake damage closed both its city docks, which it uses to land the M/V Tustumena ferry and freight boats, and damaged the road to the harbor. The floor sank in a warehouse on Sand Point’s old dock, creating a large crack across the length of the cement, according to City Administrator Jordan Keeler. He said a team of engineers will inspect the damage in the next week or so, and he’s confident that it looks worse than it actually is.  “We have two docks total and they are both closed, effective immediately until we can get an inspection to verify the extent of the damage to both the new dock and the old dock,” Keeler said.  In the meantime, closing down the docks could mean that freight shipments will be cancelled until they reopen. That could impact the island community’s ability to get fresh food, he added."
Typhoon,"Typhoon Bolaven is forecast to be moving towards the Korean Peninsula and is likely to move west of Seoul.
At least four people were injured, but reported wind speeds on Okinawa and nearby Amami were lower than forecast.
About 57,000 people on the islands were left without power, Japanese media reported.
Residents had been told to stay at home and protect themselves against the strong winds and heavy rain.
Forecasters had predicted slow-moving Typhoon Bolaven could be the strongest storm to hit the area in over 50 years.
Public broadcaster NHK said gusts could overturn cars, while waves around the island could reach 12m (40ft).
Japan's meteorological agency estimated wind speeds near the storm's centre at around 180km/h (112 mph), with extremely strong gusts reaching 252 km/h.
But NHK reported early Monday morning that the strongest gusts measured on the islands - on Amami, north of Okinawa - reached just 140km/h, according to the AP news agency."
other,"White Island Eruption Leaves 1 Lost Life, 27 Missing Person Reports White Island, the most active volcano in New Zealand, erupted in the early afternoon of December 9. A volcanic eruption in New Zealand had claimed a life and left at least 27 people reported missing. Known as the country's most active volcano, Whakaari has erupted on Monday early afternoon, sending a huge cloud of ash and affecting at least 50 island visitors. An American tourist, Michael Schade, told BBC that he was at the crater just a few minutes before the eruption. Then, when he was riding on a boat that was leaving the island after the morning tour ended, someone pointed the ash piling up from the volcano. He said it was an experience that will be ""hard to believe."" But the boat he was in returned to the island and rescued as many people as they can. One of them, which his mom tended to, is among to those who are in critical condition. A touring party of at least 38 people from the Ovation of the Seas also has not yet returned, according to Kevin O'Sullivan, the chief executive officer of the New Zealand Cruise Association."
wildfires,"SYDNEY (BLOOMBERG) - Australia is in the grip of deadly wildfires burning across the country, triggering an emotive debate about the impact of climate change in the world's driest-inhabited continent. The unprecedented scale of the crisis, and images of terrified tourists sheltering on beaches from the inferno, have shocked many Australians.
With summer only just beginning and the nation affected by a prolonged drought, the authorities fear the death toll will continue to mount as more homes and land are destroyed. Here are some key details of the crisis:
How many people have died?
Since the fire season began months ago during the southern hemisphere winter, 23 people have died. With six people missing in Victoria state, the authorities fear the death toll will rise. Among the fatalities are volunteer firefighters, including a young man who died when his 10-tonne truck was flipped over in what officials have described as a ""fire tornado"". Australia's worst wildfires came in 2009 when the Black Saturday blazes left 180 people dead."
earthquake,"Turkey earthquake death toll hits 85, dog rescued 65 hours after quake ISTANBUL - Turkish rescue workers on Monday pulled out a dog from under the debris of a building, some 65 hours after an earthquake in Turkey's Izmir that has killed at least 85 people. The Disaster and Emergency Management Authority of Turkey (AFAD) said the dog ""Ares"" was rescued from the rubble of an apartment building. Ares was reported to be exhausted but in good condition. The dog was handed over to its owner Gizem Ileri, who was pulled out from the rubble 10 hours after the tremor. The 6.6-magnitude quake hit the Aegean Sea off the Seferihisar district of Izmir on Friday. Death toll in the earthquake has risen to 85, the AFAD said in the latest statement, adding that a total of 994 people were wounded in the tremor."
Typhoon,"Eight months after Hurricane Laura devastated southwest Louisiana, the state transportation department has finished removing storm debris from state roadways.
The Department of Transportation and Development said it wrapped up removal of 1.4 million cubic yards of debris Tuesday in Calcasieu Parish, one of the hardest hit areas from Laura in August and the follow-up blow of Hurricane Delta in October.
The cleanup of debris from the 2020 storms on state roadways in other parishes already had been completed.
The transportation department said contractors statewide removed 3.3 million cubic yards of hurricane debris. Two-thirds of that was cleaned up in the southwestern Louisiana parishes of Allen, Beauregard, Calcasieu, Cameron and Jefferson Davis."
earthquake,"Turkey earthquake: At least 31 dead as buildings collapse At least 31 people have been killed and more than 1,600 injured in a powerful earthquake in eastern Turkey. The magnitude-6.8 quake centred on the town of Sivrice in Elazig province caused buildings to collapse and sent residents rushing into the street. Forty-five people have been rescued so far, with more than 20 feared to remain trapped, officials say. Earthquakes are common in Turkey - about 17,000 people died in a quake in the western city of Izmit in 1999. Friday's quake struck at about 20:55 local time (17:55 GMT). Tremors were also felt in neighbouring Syria, Lebanon and Iran. More than 400 aftershocks were recorded, Turkey's Disaster and Emergency Management Authority (Afad) said. Rescue teams worked through the night, using their hands, drills and diggers to try to find people in the rubble of fallen buildings. They also brought beds and tents for those displaced, and warned residents against returning to damaged buildings because of the danger of aftershocks. Afad said that most of the casualties were in Elazig province, and deaths were also reported in the neighbouring province of Malatya. Some 1,607 people were injured by the earthquake, according to the latest count."
other,"White Island volcano: what we know about the victims The 47 people caught in the blast came from seven different countries. There are 16 confirmed fatalities, with many of the injured still in critical condition There are 16 confirmed victims of the fatal eruption on White Island/Whakaari _ 12 Australians, two Australian permanent residents, one American and one New Zealander. Two people _ Australian teenager Winona Langford and New Zealand guide Hayden Marshall-Inman, 40 _ are still missing despite repeated ground and sea searches. Their bodies are believed to be in the water, police have said. There were 47 people on the island at the time of the eruption, 38 of them from the cruise liner Ovation of the Seas. Those present comprised of 24 people from Australia, nine from the US, two Britons, four Germans, five New Zealanders, two people from China and one from Malaysia. As of Tuesday, there were 14 patients being cared for in four burns units around New Zealand. In the days after the blast, 13 Australians were repatriated to hospitals in their home country, one of whom was confirmed by police to have died at Concord hospital in Sydney. The Australian man’s name was not released at the request of the family."
wildfires,"Dozens of wildfires raging in rain-starved Texas are now reported to have engulfed more than 1,000 homes.
The biggest of the blazes - 16 miles (26km) wide - in rural Bastrop County, is burning out of control for a third day, having destroyed 600 homes.
Two people were reported to have died in the Bastrop blaze, a local sheriff said, amid hopes for calmer winds to help control the fires.
Texas has been suffering its worst drought since the 1950s.
Schools closed
Speaking at a news conference on Tuesday, Texas Governor Rick Perry said more than 100,000 acres (40,470ha) had been scorched by at least 57 wildfires in Texas over the past week.
More than 1,000 homes had been burned over the past week, added Texas emergency management chief Nim Kidd.
On Monday, officials said about 500 homes had been destroyed."
